PrevBaro,CustomerInitMessage,SellerAnswer,CustomerFollowingMessage,Agreement
0.50,"Здравствуйте, Геннадий!","Добрый день! Чем я могу вам помочь?","Меня интересует оптовая партия стройматериалов",0.750
0.75,"Меня интересует оптовая партия стройматериалов","Думаю, мы сможем вам помочь. Какие именно стройматериалы вас интересуют?","Партия сосновых досок, 5000 кубометров",0.75
0.75,"Партия сосновых досок, 5000 кубометров.","Мы готовы поставить вам данную партию за 50 000 $. Вас устраивает цена?","Для меня это слишком высокая цена, я хотел бы получить скидку",0.25
0.25,"Для меня это слишком высокая цена, я хотел бы получить скидку","К сожалению, наша корпоративная политика не предусматривает скидки","Тогда я не буду ничего покупать, до свидания",0
0.25,"Для меня это слишком высокая цена, я хотел бы получить скидку","Мы готовы предоставить скидку 15% на данный товар.","Спасибо, я куплю товар.",1.0

0.50,"Здравствуйте, Алексей!","Добрый день! Чем я могу вам помочь?","Я хотел бы выбрать подарок на День рождения человеку, у которого всё есть",0.5
0.50,"Я хотел бы выбрать подарок на День рождения человеку, у которого всё есть","Какие именно подарки вас интересуют?","Я пока не определился. Чтобы вы порекомендавали не дорогое?",0.25
0.25,"Я пока не определился. Чтобы вы порекомендавали из не слишком дорогого?","Мы можем предложить подарочные наборы в сегменте от 500 до 2500 рублей. Вас интересует?","Да, давайте посмотрим",0.5
0.50,"Да, давайте посмотрим","Вот список подходящих подарочных наборов, рассказать про какие-то подробнее?","Расскажите про набор номер 4",0.75
0.75,"Расскажите про набор номер 4","Набор номер 4 включает в себя набор мяса дичи. Вы заинтересованы в приобретении данного набора?","Да, я готов купить данный набор.",1.0
1.00,"Да, я готов купить данный набор.","Вместе с этим набором часто берут кубинские сигары. Могу предложить вам недорогую сигару за 500 рублей","Да, я куплю набор номер 4 и сигару, спасибо",1.0

0.50,"Добрый день! Я хотел бы получить скидку на покупку.","Добрый день! К сожалению, наша корпоративная политика не предусматривает скидки.","А вы хам. всего доброго",0

0.50,"Добрый день! Я хотел бы получить скидку на покупку.","Добрый день! К сожалению, наша корпоративная политика не предусматривает скидки.","Мда, я думал, вы серьезные люди, а вы хам",0

0.5,"Добрый день! Я хотел бы получить скидку на покупку.","Мы готовы предложить скидки на следующие товары.","Спасибо, расскажите подробнее про товар номер 7.",0.75
0.75,"Спасибо, расскажите подробнее про товар номер 7.","Этот набор включает в себя следующие товары.","Да, я готов купить данный набор.",1.0

0.50,"Здравствуйте, Михаил! Вы можете мне помочь?","Добрый день! Чем я могу вам помочь?","Меня интересуют бритвенные станки, но я не могу определиться между бензиновым и электрическим.",0.75
0.75,"Меня интересуют бритвенные станки, но я не могу определиться между бензиновым и электрическим.","Рекомендую вам электрический бритвенный станок, бензиновые не дают такого качества.","Спасибо, я возьму электрический.",1.0
1.00,"Спасибо, я возьму электрический.","Вместе с электрическими бритвенными станками обычно берут щетки. Я могу предложить вам несколько вариантов?","Да",1.0
1.00,"Да","Вот варианты. Рекомендую вариант номер 3, он хорошо подходит к вашему станку.","Я возьму его",1.000

0.50,"Здравствуйте, Владимир!","Добрый день! Чем я могу вам помочь?","У меня есть жалоба. Аналогичные товары в других магазинах стоят дешевле.",0.25
0.25,"У меня есть жалоба. Аналогичные товары в других магазинах стоят дешевле."," Спасибо за обращение, мы его рассмотрим. Мы можем предложить вам товары по акции.","Да, я хотел бы с этим ознакомиться.",0.50
0.50,"Да, я хотел бы с этим ознакомиться.","Вот список подходящих акционных наборов, рассказать про какие-то подробнее?","Расскажите про набор номер 7",0.75
0.75,"Расскажите про набор номер 7","Этот набор включает в себя следующие товары.","Да, я готов купить данный набор.",1.00

0.50,"Здравствуйте!","Добрый день! Чем я могу вам помочь?","Я хотел купить подарочный набор на День рождения, но ещё не определился с выбором.",0.50
0.50,"Я хотел купить подарочный набор на День рождения, но ещё не определился с выбором.","Какие именно подарки вас интересуют?","Меня интересуют бритвенные станки, но я не могу определиться между бензиновым и электрическим.",0.75
0.75,"Меня интересуют бритвенные станки, но я не могу определиться между бензиновым и электрическим.","Рекомендую вам электрический бритвенный станок, бензиновые не дают такого качества.","Спасибо, я возьму электрический.",1.0
1.00,"Спасибо, я возьму электрический.","Вместе с электрическими бритвенными станками обычно берут щетки. Я могу предложить вам несколько вариантов?","Да",1.0
1.00,"Да","Вот варианты. Рекомендую вариант номер 3, он хорошо подходит к вашему станку.","Я возьму его",1.0

0.50,"Добрый день, Константин!","Добрый день! Чем я могу вам помочь?","У меня есть жалоба. Аналогичные товары в других магазинах стоят дешевле.",0.25
0.25,"У меня есть жалоба. Аналогичные товары в других магазинах стоят дешевле.","Спасибо за обращение, мы его рассмотрим. Мы можем предложить вам товары по акции.","Давайте.",0.50
0.50,"Давайте.","Вот список подходящих акционных наборов, рассказать про какие-то подробнее?","Расскажите про набор номер 4",0.75
0.75,"Расскажите про набор номер 4","Этот набор включает в себя следующие товары.","Да, я готов купить данный набор.",1.00

0.50,"Здравствуйте, Михаил!","Добрый день! Чем я могу вам помочь?","Меня интересует оптовая партия стройматериалов",0.750
0.75,"Меня интересует оптовая партия стройматериалов","Думаю, мы сможем вам помочь. Какие именно стройматериалы вас интересуют?","Партия сосновых досок, 5000 кубометров",0.75
0.75,"Партия сосновых досок, 5000 кубометров.","Мы готовы поставить вам данную партию за 50 000 $. Вас устраивает цена?","Да, меня устраивает цена. Я хотел бы купить инструменты, вы можете мне помочь?",1.00
1.00,"Да, меня устраивает цена. Я хотел бы купить инструменты, вы можете мне помочь?","Да, для обработки дерева обычно берут следующие инструменты.","Спасибо, я готов купить эти инструменты.",1.00

0.50,"Здравствуйте, Татьяна!","Добрый день! Чем я могу вам помочь?","Я не могу определиться с выбором набора для готовки мяса.",0.50
0.50,"Я не могу определиться с выбором набора для готовки мяса.","Вы хотите готовить на природе или дома? В зависимости от этого мы можем предложить вам различные наборы.","Я хотел бы готовить дома.",0.60
0.60,"Я хотел бы готовить дома.","Мы готовы предложивать вам следующие наборы.","А чем отличаются наборы для готовки на природе?",0.75
0.75,"А чем отличаются наборы для готовки на природе?","Эти наборы имеют следующие отличия.","Спасибо, я возьму набор номер 9.",1.00
0.75,"А чем отличаются наборы для готовки на природе?","Эти наборы имеют следующие отличия.","Для меня эти наборы слишком дорогие. У вас есть более дешевые наборы?",0.25
0.25,"Для меня эти наборы слишком дорогие. У вас есть более дешевые наборы?","Мы можем предложить следующие более дешевые наборы","Спасибо, я возьму набор номер 2.",1.0
0.25,"Для меня эти наборы слишком дорогие. У вас есть более дешевые наборы?","Мы можем предложить следующие более дешевые наборы","Это всё ещё слишком дорого. Я не буду ничего покупать.",0.0

0.50,"Здравствуйте, Виктор!","Добрый день! Чем я могу вам помочь?","Я выбрал товар, но он слишком дорогой. У вас есть более дешевые аналоги?",0.25
0.25,"Я выбрал товар, но он слишком дорогой. У вас есть более дешевые аналоги?","К сожалению, более дешевых аналогов у нас нет.","Тогда я не буду ничего покупать",0.0

0.5,"Здравствуйте, Геннадий!","Добрый день! Чем я могу вам помочь?","Я недоволен качеством ваших товаров и хотел бы получить скидку.",0.25
0.25,"Я недоволен качеством ваших товаров и хотел бы получить скидку.","К сожалению, наша корпоративная политика не предусматривает скидки.","Тогда я не буду ничего покупать.",0
0.25,"Я недоволен качеством ваших товаров и хотел бы получить скидку.","Мы готовы предоставить скидку 15% на данный товар.","Спасибо, я куплю товар.",1.0

